CITY.TOWN	CASE	RATE
PHILLIPSTON	8	466.69
PITTSFIELD	131	295.86
PLAINFIELD	0	0.00
PLAINVILLE	39	427.46
PLYMOUTH	222	357.86
PLYMPTON	5	167.28
PRINCETON	<5	*
PROVINCETOWN	21	800.34
QUINCY	767	758.35
RANDOLPH	643	1879.07
RAYNHAM	176	1178.28
READING	190	691.31
REHOBOTH	32	253.65
REVERE	1123	1843.51
RICHMOND	5	376.53
ROCHESTER	14	248.33
ROCKLAND	206	1142.13
ROCKPORT	33	503.49
ROWE	0	0.00
ROWLEY	28	453.54
ROYALSTON	<5	*
RUSSELL	8	423.95
RUTLAND	28	310.80
SALEM	369	819.66
SALISBURY	33	373.28
SANDISFIELD	<5	*
SANDWICH	66	313.77
SAUGUS	298	1048.36
SAVOY	<5	*
SCITUATE	62	342.13
SEEKONK	43	307.09
SHARON	91	496.98
SHEFFIELD	11	356.33
SHELBURNE	6	324.45
SHERBORN	10	260.60
SHIRLEY	115	1364.32
SHREWSBURY	183	464.48
SHUTESBURY	<5	*
SOMERSET	61	329.59
SOMERVILLE	573	748.64
SOUTH HADLEY	51	281.78
SOUTHAMPTON	25	416.28
SOUTHBOROUGH	27	277.70
SOUTHBRIDGE	53	314.67
SOUTHWICK	39	398.23
SPENCER	23	199.65
SPRINGFIELD	1317	831.79
STERLING	26	330.23
STOCKBRIDGE	10	573.54
STONEHAM	260	1165.71
STOUGHTON	401	1449.88
STOW	16	221.92
STURBRIDGE	24	229.84
SUDBURY	76	424.49
SUNDERLAND	9	236.75
SUTTON	25	278.26
SWAMPSCOTT	97	707.68
SWANSEA	54	338.14
TAUNTON	558	974.18
TEMPLETON	93	1041.32
TEWKSBURY	357	1159.44
TISBURY	<5	*
TOLLAND	<5	*
TOPSFIELD	87	1488.72
TOWNSEND	21	229.54
TRURO	9	455.74
TYNGSBOROUGH	72	600.46
TYRINGHAM	<5	*
UPTON	13	143.79
UXBRIDGE	51	330.88
WAKEFIELD	210	77764
WALES	<5	*
WALPOLE	178	687.24
WALTHAM	748	1122.12
WARE	15	147.95
WAREHAM	115	480.15
WARREN	6	110.66
WARWICK	0	0.00
WASHINGTON	<5	*
WATERTOWN	273	822.97
WAYLAND	59	444.21
WEBSTER	75	436.27
WELLESLEY	187	628.90
WELLFLEET	<5	*
WENDELL	0	0.00
WENHAM	12	230.50
WEST BOYLSTON	26	331.20
WEST BRIDGEWATER	65	896.86
WEST BROOKFIELD	10	269.57
WEST NEWBURY	5	122.50
WEST SPRINGFIELD	217	736.66
WEST STOCKBRIDGE	<5	*
WEST TISBURY	7	242.81
WESTBOROUGH	209	1109.21
WESTFIELD	344	827.35
WESTFORD	115	496.99
WESTHAMPTON	<5	*
WESTMINSTER	14	190.94
WESTON	80	721.13
WESTPORT	43	258.35
WESTWOOD	82	556.33
WEYMOUTH	504	898.98
WHATELY	<5	*
WHITMAN	124	804.16
WILBRAHAM	115	790.79
WILLIAMSBURG	8	324.30
WILLIAMSTOWN	79	1072.10
WILMINGTON	241	988.79
WINCHENDON	51	474.57
WINCHESTER	76	340.44
WINDSOR	0	0.00
WINTHROP	167	886.07
WOBURN	344	829.10
WORCESTER	2284	1190.40
WORTHINGTON	0	0.00
WRENTHAM	120	1064.35
YARMOUTH	65	270.57
UNKNOWN?	446	2
STATE TOTAL	60265	865.03
