CITY.TOWN	CASE	RATE
PETERSHAM	5	394.70
PHILLIPSTON	12	700.03
PITTSFIELD	147	331.99
PLAINFIELD	0	0
PLAINVILLE	51	558.98
PLYMOUTH	424	683.47
PLYMPTON	8	267.64
PRINCETON	<5	NA
PROVINCETOWN	21	800.34
QUINCY	970	959.06
RANDOLPH	787	2299.89
RAYNHAM	206	1379.12
READING	247	898.71
REHOBOTH	44	348.77
REVERE	1403	2303.16
RICHMOND	5	376.53
ROCHESTER	22	390.24
ROCKLAND	246	1363.91
ROCKPORT	72	1098.53
ROWE	0	0
ROWLEY	31	502.14
ROYALSTON	<5	NA
RUSSELL	8	423.95
RUTLAND	37	410.70
SALEM	492	1092.88
SALISBURY	45	509.02
SANDISFIELD	<5	NA
SANDWICH	74	351.80
SAUGUS	432	1519.77
SAVOY	<5	NA
SCITUATE	119	656.68
SEEKONK	61	435.64
SHARON	118	644.43
SHEFFIELD	15	485.90
SHELBURNE	7	378.53
SHERBORN	11	286.66
SHIRLEY	144	1708.37
SHREWSBURY	265	672.61
SHUTESBURY	<5	NA
SOMERSET	98	529.51
SOMERVILLE	729	952.46
SOUTH HADLEY	108	596.71
SOUTHAMPTON	28	466.24
SOUTHBOROUGH	36	370.27
SOUTHBRIDGE	84	498.72
SOUTHWICK	44	449.28
SPENCER	38	329.85
SPRINGFIELD	1889	1193.05
STERLING	60	762.06
STOCKBRIDGE	14	802.96
STONEHAM	322	1443.69
STOUGHTON	512	1851.21
STOW	25	346.75
STURBRIDGE	30	287.30
SUDBURY	163	910.42
SUNDERLAND	8	210.44
SUTTON	38	422.95
SWAMPSCOTT	115	839.01
SWANSEA	75	469.65
TAUNTON	758	1323.35
TEMPLETON	109	1220.47
TEWKSBURY	484	1571.91
TISBURY	<5	NA
TOLLAND	<5	NA
TOPSFIELD	106	1813.85
TOWNSEND	26	284.19
TRURO	9	455.74
TYNGSBOROUGH	81	675.52
TYRINGHAM	<5	NA
UPTON	17	188.03
UXBRIDGE	58	376.30
WAKEFIELD	257	951.68
WALES	<5	NA
WALPOLE	199	768.32
WALTHAM	994	1491.16
WARE	21	207.13
WAREHAM	171	713.96
WARREN	13	239.77
WARWICK	0	0
WASHINGTON	<5	NA
WATERTOWN	326	982.74
WAYLAND	92	692.67
WEBSTER	123	715.49
WELLESLEY	207	696.16
WELLFLEET	<5	NA
WENDELL	0	0
WENHAM	15	288.12
WEST BOYLSTON	33	420.37
WEST BRIDGEWATER	98	1352.19
WEST BROOKFIELD	13	350.44
WEST NEWBURY	6	147.00
WEST SPRINGFIELD	271	919.98
WEST STOCKBRIDGE	<5	NA
WEST TISBURY	7	242.81
WESTBOROUGH	273	1448.88
WESTFIELD	397	954.82
WESTFORD	126	544.53
WESTHAMPTON	<5	NA
WESTMINSTER	19	259.13
WESTON	125	1126.76
WESTPORT	61	366.50
WESTWOOD	99	671.67
WEYMOUTH	607	1082.70
WHATELY	<5	NA
WHITMAN	164	1063.57
WILBRAHAM	178	1224.00
WILLIAMSBURG	8	324.30
WILLIAMSTOWN	81	1099.24
WILMINGTON	298	1222.65
WINCHENDON	73	679.28
WINCHESTER	97	434.52
WINDSOR	0	0
WINTHROP	221	1172.59
WOBURN	499	1202.67
WORCESTER	3549	1849.70
WORTHINGTON	0	0
WRENTHAM	172	1525.57
YARMOUTH	96	399.61
UNKNOWN1	264	NA
STATE TOTAL	80497	1155.44
